Название,Год выпуска,Длительность,Описание_перевод,Рейтинг,Страна,Жанр,Обработанный текст,Токенизированный текст,Лематизированный текст,Токенезированный текст 2,Кластер,Категория кластера,Категория кластера моделирование
Побег из Шоушенка,1994,2h 22m,"Банкир, осужденный за уксорицид, образует дружбу за четверть века с закаленным осужденным, сохраняя при этом его невиновность и пытаясь оставаться надежды на простое сострадание.",9.3,United States,Drama,"банкир, осужденный за уксорицид, образует дружбу за четверть века с закаленным осужденным, сохраняя при этом его невиновность и пытаясь оставаться надежды на простое сострадание.","банкир , осужденный уксорицид , образует дружбу четверть века закаленным осужденным , сохраняя невиновность пытаясь оставаться надежды простое сострадание .","банкир , осудить уксорицид , образовать дружба четверть век закалённый осудить , сохранять невиновность пытаться оставаться надежда простой сострадание .","['банкир', ',', 'осужденный', 'уксорицид', ',', 'образует', 'дружбу', 'четверть', 'века', 'закаленным', 'осужденным', ',', 'сохраняя', 'невиновность', 'пытаясь', 'оставаться', 'надежды', 'простое', 'сострадание', '.']",10,"Испытания судьбы: от детских мечтаний до исторических битв за правду, преодолением трудностей и надеждой выбором пути ",
Крёстный отец,1972,2h 55m,Старение патриарха организованной криминальной династии передает контроль над его тайной империей его неохотному сыну.,9.2,United States,"Crime, Drama",старение патриарха организованной криминальной династии передает контроль над его тайной империей его неохотному сыну.,старение патриарха организованной криминальной династии передает контроль тайной империей неохотному сыну .,старение патриарх организовать криминальный династия передавать контроль тайна империя неохотный сын .,"['старение', 'патриарха', 'организованной', 'криминальной', 'династии', 'передает', 'контроль', 'тайной', 'империей', 'неохотному', 'сыну', '.']",1,"кризисом идентичности, социальной несправедливостью и борьбой за выживание",
Тёмный рыцарь,2008,2h 32m,"Когда угроза, известная как Джокер, наносит ущерб и хаос народах Готэма, Бэтмен, Джеймс Гордон и Харви Дент должны работать вместе, чтобы положить конец безумию.",9.0,"United States, United Kingdom","Action, Crime, Drama","когда угроза, известная как джокер, наносит ущерб и хаос народах готэма, бэтмен, джеймс гордон и харви дент должны работать вместе, чтобы положить конец безумию.","угроза , известная джокер , наносит ущерб хаос народах готэма , бэтмен , джеймс гордон харви дент должны работать вместе , положить конец безумию .","угроза , известный джокер , наносить ущерб хаос народ готэма , бэтмена , джеймс гордон харви дента должный работать вместе , положить конец безумие .","['угроза', ',', 'известная', 'джокер', ',', 'наносит', 'ущерб', 'хаос', 'народах', 'готэма', ',', 'бэтмен', ',', 'джеймс', 'гордон', 'харви', 'дент', 'должны', 'работать', 'вместе', ',', 'положить', 'конец', 'безумию', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
Крёстный отец 2,1974,3h 22m,"Ранняя жизнь и карьера Вито Корлеоне в 1920 -х годах изображаются, в то время как его сын Майкл расширяет и подтягивает свою власть в отношении синдиката по семейной преступности.",9.0,United States,"Crime, Drama","ранняя жизнь и карьера вито корлеоне в 1920 -х годах изображаются, в то время как его сын майкл расширяет и подтягивает свою власть в отношении синдиката по семейной преступности.","ранняя жизнь карьера вито корлеоне 1920 -х годах изображаются , время сын майкл расширяет подтягивает власть отношении синдиката семейной преступности .","ранний жизнь карьера вить корлеон 1920 -х год изображаться , время сын майкл расширять подтягивать власть отношение синдикат семейный преступность .","['ранняя', 'жизнь', 'карьера', 'вито', 'корлеоне', '1920', '-х', 'годах', 'изображаются', ',', 'время', 'сын', 'майкл', 'расширяет', 'подтягивает', 'власть', 'отношении', 'синдиката', 'семейной', 'преступности', '.']",7,"Тени прошлого: преступность, рабство и борьба за выживание",
12 рaзгневанных мужчин,1957,1h 36m,"Присяжные в суде по делу об убийстве в Нью -Йорке разочарованы одним членом, чей скептически осторожность заставляет их более тщательно рассмотреть доказательства, прежде чем принять поспешное приговор.",9.0,United States,"Crime, Drama","присяжные в суде по делу об убийстве в нью -йорке разочарованы одним членом, чей скептически осторожность заставляет их более тщательно рассмотреть доказательства, прежде чем принять поспешное приговор.","присяжные суде делу убийстве нью -йорке разочарованы одним членом , чей скептически осторожность заставляет тщательно рассмотреть доказательства , прежде принять поспешное приговор .","присяжный суд дело убийство нью -йорк разочаровать один член , чей скептически осторожность заставлять тщательно рассмотреть доказательство , прежде принять поспешный приговор .","['присяжные', 'суде', 'делу', 'убийстве', 'нью', '-йорке', 'разочарованы', 'одним', 'членом', ',', 'чей', 'скептически', 'осторожность', 'заставляет', 'тщательно', 'рассмотреть', 'доказательства', ',', 'прежде', 'принять', 'поспешное', 'приговор', '.']",4,"Криминальные драмы: убийства, коррупция и борьба за справедливость в разных эпохах",
Властелин колец: Возвращение короля,2003,3h 21m,"Гандальф и Арагорн ведут мир людей против армии Саурона, чтобы привлечь свой взгляд от Фродо и Сэма, когда они приближаются к Маунт -Дум с одним кольцом.",9.0,"New Zealand, United States","Adventure, Drama, Fantasy","гандальф и арагорн ведут мир людей против армии саурона, чтобы привлечь свой взгляд от фродо и сэма, когда они приближаются к маунт -дум с одним кольцом.","гандальф арагорн ведут мир людей против армии саурона , привлечь взгляд фродо сэма , приближаются маунт -дум одним кольцом .","гандальф арагорн вести мир человек против армия саурон , привлечь взгляд фродый сэм , приближаться маунт -дума один кольцо .","['гандальф', 'арагорн', 'ведут', 'мир', 'людей', 'против', 'армии', 'саурона', ',', 'привлечь', 'взгляд', 'фродо', 'сэма', ',', 'приближаются', 'маунт', '-дум', 'одним', 'кольцом', '.']",8,"борьбы между светом и тьмой, Испытания веры",
Список Шиндлера,1993,3h 15m,"В оккупированной немецкой Поль году во время Второй мировой войны промышленный Оскар Шиндлер постепенно заинтересован в своей еврейской рабочей силе после того, как нацисты были свидетелем их преследования со стороны нацистов.",9.0,United States,"Biography, Drama, History","в оккупированной немецкой поль году во время второй мировой войны промышленный оскар шиндлер постепенно заинтересован в своей еврейской рабочей силе после того, как нацисты были свидетелем их преследования со стороны нацистов.","оккупированной немецкой поль году время второй мировой войны промышленный оскар шиндлер постепенно заинтересован своей еврейской рабочей силе , нацисты свидетелем преследования стороны нацистов .","оккупировать немецкий поль год время второй мировой война промышленный оскар шиндлера постепенно заинтересованный свой еврейский рабочий сила , нацист свидетель преследование сторона нацист .","['оккупированной', 'немецкой', 'поль', 'году', 'время', 'второй', 'мировой', 'войны', 'промышленный', 'оскар', 'шиндлер', 'постепенно', 'заинтересован', 'своей', 'еврейской', 'рабочей', 'силе', ',', 'нацисты', 'свидетелем', 'преследования', 'стороны', 'нацистов', '.']",5,"Вторая мировая война и её последствия: борьба, жертвы и судьбы семей",
Криминальное чтиво,1994,2h 34m,"Жизнь двух наемников толпы, боксера, гангстера и его жены, и пары закусочных бандитов переплетаются в четырех сказках о насилии и искуплении.",8.9,United States,"Crime, Drama","жизнь двух наемников толпы, боксера, гангстера и его жены, и пары закусочных бандитов переплетаются в четырех сказках о насилии и искуплении.","жизнь двух наемников толпы , боксера , гангстера жены , пары закусочных бандитов переплетаются четырех сказках насилии искуплении .","жизнь два наёмник толпа , боксёр , гангстер жена , пара закусочный бандит переплетаться четыре сказка насилие искупление .","['жизнь', 'двух', 'наемников', 'толпы', ',', 'боксера', ',', 'гангстера', 'жены', ',', 'пары', 'закусочных', 'бандитов', 'переплетаются', 'четырех', 'сказках', 'насилии', 'искуплении', '.']",4,"Криминальные драмы: убийства, коррупция и борьба за справедливость в разных эпохах",
Властелин колец: Братство кольца,2001,2h 58m,"Крутый хоббит из Шира и восемь компаньонов отправился в путешествие, чтобы уничтожить мощное кольцо и спасти Средиземье от Темного лорда Саурона.",8.9,"New Zealand, United States, United Kingdom","Adventure, Drama, Fantasy","крутый хоббит из шира и восемь компаньонов отправился в путешествие, чтобы уничтожить мощное кольцо и спасти средиземье от темного лорда саурона.","крутый хоббит шира восемь компаньонов отправился путешествие , уничтожить мощное кольцо спасти средиземье темного лорда саурона .","круть хоббит шир восемь компаньон отправиться путешествие , уничтожить мощный кольцо спасти средиземье тёмный лорд саурон .","['крутый', 'хоббит', 'шира', 'восемь', 'компаньонов', 'отправился', 'путешествие', ',', 'уничтожить', 'мощное', 'кольцо', 'спасти', 'средиземье', 'темного', 'лорда', 'саурона', '.']",8,"борьбы между светом и тьмой, Испытания веры",
"Хороший, плохой, злой",1966,2h 41m,"Мошенничество на щедрости присоединяется к двум мужчинам в непростительном союзе против третьего в гонке, чтобы найти целое состояние в золоте, похороненное на отдаленном кладбище.",8.8,"Italy, Spain, West Germany, United States","Adventure, Western","мошенничество на щедрости присоединяется к двум мужчинам в непростительном союзе против третьего в гонке, чтобы найти целое состояние в золоте, похороненное на отдаленном кладбище.","мошенничество щедрости присоединяется двум мужчинам непростительном союзе против третьего гонке , найти целое состояние золоте , похороненное отдаленном кладбище .","мошенничество щедрость присоединяться два мужчина непростительный союз против третий гонка , найти целое состояние золото , похоронить отдалить кладбище .","['мошенничество', 'щедрости', 'присоединяется', 'двум', 'мужчинам', 'непростительном', 'союзе', 'против', 'третьего', 'гонке', ',', 'найти', 'целое', 'состояние', 'золоте', ',', 'похороненное', 'отдаленном', 'кладбище', '.']",0,"антологию в жанре психологического триллера, криминальной драмы и приключенческого экшна",
